User ID,Name,Email,Risk Score,Risk Level,Reasons,System
be0ade1c-2c25-41f0-b687-558739f7976b,Oliver Roussel,oliver.roussel@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
3f0a6c30-0fa9-43d7-bc27-671da59cdf2d,Horst Lacroix,horst.lacroix@example.com,0,LOW,Invalid registration date format,HRSystem
d51af6d2-beeb-44aa-ac06-852d60e9ff81,Yeni Ulloa,yeni.ulloa@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
617abfeb-f636-458f-94f2-b31d6666a578,Bartolomeu Ramos,bartolomeu.ramos@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
ab1ac0c1-e7dc-4076-b337-9a3001012c47,Marie Johansen,marie.johansen@example.com,0,LOW,Invalid registration date format,HRSystem
92e92458-f9f6-4b4c-a54a-93b41b3ecb15,Eden Li,eden.li@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
b18ab1e3-83e1-481c-bda4-d06c90fdbaba,Hetal Babu,hetal.babu@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
8df84335-6ec0-4e5e-8673-c80e32381c83,احسان سالاری,hsn.slry@example.com,6,MEDIUM,Invalid registration date format; User from high-risk country: Iran,HRSystem
d74df72a-051d-409d-99dc-d988a4f39669,Melike Egeli,melike.egeli@example.com,0,LOW,Invalid registration date format,HRSystem
8c0736c1-8b41-476f-970e-69a2a4e0a6cf,Carlos Burns,carlos.burns@example.com,0,LOW,Invalid registration date format,HRSystem
4fae93bb-e3bd-48f8-8e7d-e42cbcc2fc34,Gordiy Tishchik,gordiy.tishchik@example.com,0,LOW,Invalid registration date format,HRSystem
962449a4-1b08-43d9-bb27-8389c2329690,Lamar Frydenberg,lamar.frydenberg@example.com,0,LOW,Invalid registration date format,HRSystem
e5202800-889e-4ea5-b4fd-4fe9b55effff,النا کوتی,ln.khwty@example.com,6,MEDIUM,Invalid registration date format; User from high-risk country: Iran,HRSystem
b4c79340-7bd5-40cf-a4c4-a8cd0732169a,Jennifer Volle,jennifer.volle@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
84ed1bcf-5ffc-4233-afe3-7a3cd9f7248d,Johnno Heerschop,johnno.heerschop@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
10afe91f-4678-495a-9e33-995778ecb782,Oleh Zinovenko,oleh.zinovenko@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
56bac39e-577b-43a7-95e9-1566adcbcc00,Zackary Roy,zackary.roy@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
2d87e3be-e7e3-4682-b366-b284487fd590,Isauro Araújo,isauro.araujo@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
b7d5ff0c-5f42-4794-9ed4-2b7885466fd9,Leah Reid,leah.reid@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
0d65dcae-5e75-4078-b4f4-3d0b3aaf8469,Iker Navarro,iker.navarro@example.com,0,LOW,Invalid registration date format,HRSystem
a2f5edb5-47c9-4222-87ad-990dd8cd8374,Eeli Salmi,eeli.salmi@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
7b127b57-4a2c-4d03-8d77-959800f60b52,Vedat Köybaşı,vedat.koybasi@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
5ef9f2ec-7128-4b4e-8df3-30bae2357265,Fotina Zadunayskiy,fotina.zadunayskiy@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
2e1d64b5-1dad-462c-bf7e-996157c71e49,Caspian Klokk,caspian.klokk@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
6ea6c9bd-ad64-4c6e-a02a-08245e4a4741,William Salberg,william.salberg@example.com,0,LOW,Invalid registration date format,HRSystem
35799116-ab93-464e-83dc-1bb58ebe9882,Ylva Ulvund,ylva.ulvund@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
8d887439-9209-4634-a719-5882221e4957,Buse Aybar,buse.aybar@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
94672ca2-5887-4251-92e0-7406cfab4acb,Lucílio Nunes,lucilio.nunes@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
425fcc3e-e0db-49d6-8670-e3f033216e75,Catalina Montero,catalina.montero@example.com,5,MEDIUM,Password too short; Invalid registration date format,HRSystem
